Could not find conda environment: ML
You can list all discoverable environments with `conda info --envs`.

Loaded Vocabulary Set
Loaded Reverse Vocabulary Set
loading annotations into memory...
Done (t=0.74s)
creating index...
index created!
/home/md4289/anaconda3/lib/python3.6/site-packages/sklearn/utils/fixes.py:313: FutureWarning: numpy not_equal will not check object identity in the future. The comparison did not return the same result as suggested by the identity (`is`)) and will change.
  _nan_object_mask = _nan_object_array != _nan_object_array
Epoch: 3 Batch: 1700 Loss: 1.9562615156173706
Epoch: 3 Batch: 1800 Loss: 1.93733549118042
Epoch: 3 Batch: 1900 Loss: 1.9848833084106445
Epoch: 3 Batch: 2000 Loss: 1.8513058423995972
Epoch: 3 Batch: 2100 Loss: 1.8353501558303833
Epoch: 3 Batch: 2200 Loss: 1.7952945232391357
Epoch: 3 Batch: 2300 Loss: 2.018181324005127
Epoch: 3 Batch: 2400 Loss: 2.064185619354248
Epoch: 3 Batch: 2500 Loss: 1.9540331363677979
Epoch: 3 Batch: 2600 Loss: 1.778935432434082
Epoch: 3 Batch: 2700 Loss: 1.886006236076355
Epoch: 3 Batch: 2800 Loss: 1.7956676483154297
Epoch: 3 Batch: 2900 Loss: 1.8684154748916626
Epoch: 3 Batch: 3000 Loss: 1.9281219244003296
Epoch: 3 Batch: 3100 Loss: 1.83135187625885
Epoch: 3 Batch: 3200 Loss: 1.9788678884506226
Epoch: 3 Batch: 3300 Loss: 1.8053778409957886
Epoch: 3 Batch: 3400 Loss: 1.89816415309906
Epoch: 3 Batch: 3500 Loss: 1.8878905773162842
Epoch: 3 Batch: 3600 Loss: 1.8834726810455322
Epoch: 3 Batch: 3700 Loss: 2.119737386703491
Epoch: 3 Batch: 3800 Loss: 2.1065938472747803
Epoch: 3 Batch: 3900 Loss: 1.8036061525344849
Epoch: 3 Batch: 4000 Loss: 1.9272900819778442
Epoch: 3 Batch: 4100 Loss: 2.029270648956299
Epoch: 3 Batch: 4200 Loss: 1.8527592420578003
Epoch: 3 Batch: 4300 Loss: 1.777633547782898
Epoch: 3 Batch: 4400 Loss: 1.8224514722824097
Epoch: 3 Batch: 4500 Loss: 1.9981995820999146
Epoch: 3 Batch: 4600 Loss: 1.8716521263122559
Epoch: 3 Batch: 4700 Loss: 1.7601685523986816
Epoch: 3 Batch: 4800 Loss: 2.002039670944214
Epoch: 3 Batch: 4900 Loss: 1.97891104221344
Epoch: 3 Batch: 5000 Loss: 2.0111615657806396
Epoch: 3 Batch: 5100 Loss: 2.0255234241485596
Epoch: 3 Batch: 5200 Loss: 1.85270357131958
Epoch: 3 Batch: 5300 Loss: 1.9369474649429321
Epoch: 3 Batch: 5400 Loss: 1.881610631942749
Epoch: 3 Batch: 5500 Loss: 1.9139668941497803
Epoch: 3 Batch: 5600 Loss: 1.9460781812667847
Epoch: 3 Batch: 5700 Loss: 1.8561818599700928
Epoch: 3 Batch: 5800 Loss: 2.0600507259368896
Epoch: 3 Batch: 5900 Loss: 1.8501944541931152
Epoch: 3 Batch: 6000 Loss: 2.089092969894409
Epoch: 3 Batch: 6100 Loss: 1.8484634160995483
Epoch: 3 Batch: 6200 Loss: 1.835300087928772
Epoch: 3 Batch: 6300 Loss: 1.74690580368042
Epoch: 3 Batch: 6400 Loss: 1.8314005136489868
Epoch: 4 Batch: 0 Loss: 1.862471342086792
Epoch: 4 Batch: 100 Loss: 1.7959893941879272
Epoch: 4 Batch: 200 Loss: 1.811729073524475
Epoch: 4 Batch: 300 Loss: 1.9205777645111084
Epoch: 4 Batch: 400 Loss: 1.87501060962677
Epoch: 4 Batch: 500 Loss: 1.6573868989944458
Epoch: 4 Batch: 600 Loss: 1.8152809143066406
Epoch: 4 Batch: 700 Loss: 2.02341365814209
Epoch: 4 Batch: 800 Loss: 1.747912049293518
Epoch: 4 Batch: 900 Loss: 1.8308347463607788
Epoch: 4 Batch: 1000 Loss: 1.722622036933899
Epoch: 4 Batch: 1100 Loss: 1.716976523399353
Epoch: 4 Batch: 1200 Loss: 1.8715730905532837
Epoch: 4 Batch: 1300 Loss: 1.9129970073699951
Epoch: 4 Batch: 1400 Loss: 1.940567135810852
Epoch: 4 Batch: 1500 Loss: 1.7514129877090454
Epoch: 4 Batch: 1600 Loss: 1.7644565105438232
Epoch: 4 Batch: 1700 Loss: 1.915583848953247
Epoch: 4 Batch: 1800 Loss: 1.978334903717041
Epoch: 4 Batch: 1900 Loss: 1.9119415283203125
Epoch: 4 Batch: 2000 Loss: 1.815816879272461
Epoch: 4 Batch: 2100 Loss: 1.8684972524642944
Epoch: 4 Batch: 2200 Loss: 1.7831193208694458
Epoch: 4 Batch: 2300 Loss: 1.8536722660064697
Epoch: 4 Batch: 2400 Loss: 1.8332207202911377
Epoch: 4 Batch: 2500 Loss: 1.795435905456543
Epoch: 4 Batch: 2600 Loss: 1.8845444917678833
Epoch: 4 Batch: 2700 Loss: 1.9453375339508057
Epoch: 4 Batch: 2800 Loss: 1.7337831258773804
Epoch: 4 Batch: 2900 Loss: 1.8667305707931519
Epoch: 4 Batch: 3000 Loss: 1.7334598302841187
Epoch: 4 Batch: 3100 Loss: 1.7168282270431519
Epoch: 4 Batch: 3200 Loss: 1.912187099456787
Epoch: 4 Batch: 3300 Loss: 1.9684844017028809
Epoch: 4 Batch: 3400 Loss: 1.824802279472351
Epoch: 4 Batch: 3500 Loss: 1.767147183418274
Epoch: 4 Batch: 3600 Loss: 1.9007210731506348
Epoch: 4 Batch: 3700 Loss: 1.9309871196746826
Epoch: 4 Batch: 3800 Loss: 1.7952556610107422
Epoch: 4 Batch: 3900 Loss: 1.9108225107192993
Epoch: 4 Batch: 4000 Loss: 1.973187804222107
Epoch: 4 Batch: 4100 Loss: 1.8282015323638916
Epoch: 4 Batch: 4200 Loss: 1.871860384941101
Epoch: 4 Batch: 4300 Loss: 1.805274486541748
Epoch: 4 Batch: 4400 Loss: 1.614094853401184
Epoch: 4 Batch: 4500 Loss: 2.0793802738189697
Epoch: 4 Batch: 4600 Loss: 1.9826858043670654
Epoch: 4 Batch: 4700 Loss: 1.7750725746154785
Epoch: 4 Batch: 4800 Loss: 1.8053648471832275
Epoch: 4 Batch: 4900 Loss: 1.8024883270263672
Epoch: 4 Batch: 5000 Loss: 1.8908904790878296
Epoch: 4 Batch: 5100 Loss: 1.7832117080688477
Epoch: 4 Batch: 5200 Loss: 1.787065029144287
Epoch: 4 Batch: 5300 Loss: 1.7517647743225098
Epoch: 4 Batch: 5400 Loss: 1.8874433040618896
Epoch: 4 Batch: 5500 Loss: 1.7862870693206787
Epoch: 4 Batch: 5600 Loss: 1.773053526878357
Epoch: 4 Batch: 5700 Loss: 1.8294334411621094
Epoch: 4 Batch: 5800 Loss: 1.7597101926803589
Epoch: 4 Batch: 5900 Loss: 1.8066891431808472
Epoch: 4 Batch: 6000 Loss: 1.953996181488037
Epoch: 4 Batch: 6100 Loss: 1.6930198669433594
Epoch: 4 Batch: 6200 Loss: 1.8533419370651245
Epoch: 4 Batch: 6300 Loss: 1.6860357522964478
Epoch: 4 Batch: 6400 Loss: 1.8755959272384644
Epoch: 5 Batch: 0 Loss: 1.6562697887420654
Epoch: 5 Batch: 100 Loss: 1.5962435007095337
Epoch: 5 Batch: 200 Loss: 1.7410082817077637
Epoch: 5 Batch: 300 Loss: 1.7499921321868896
Epoch: 5 Batch: 400 Loss: 1.7547990083694458
Epoch: 5 Batch: 500 Loss: 1.662783145904541
Epoch: 5 Batch: 600 Loss: 1.819273829460144
Epoch: 5 Batch: 700 Loss: 1.6340572834014893
Epoch: 5 Batch: 800 Loss: 1.6760756969451904
Epoch: 5 Batch: 900 Loss: 1.781031847000122
Epoch: 5 Batch: 1000 Loss: 1.6432480812072754
Epoch: 5 Batch: 1100 Loss: 1.80862557888031
Epoch: 5 Batch: 1200 Loss: 1.72710382938385
Epoch: 5 Batch: 1300 Loss: 1.924501895904541
Epoch: 5 Batch: 1400 Loss: 1.837654709815979
Epoch: 5 Batch: 1500 Loss: 1.7669278383255005
Epoch: 5 Batch: 1600 Loss: 1.7689487934112549
Epoch: 5 Batch: 1700 Loss: 1.6567833423614502
Epoch: 5 Batch: 1800 Loss: 1.7288209199905396
Epoch: 5 Batch: 1900 Loss: 1.8012720346450806
Epoch: 5 Batch: 2000 Loss: 1.6376479864120483
Epoch: 5 Batch: 2100 Loss: 1.7695151567459106
Epoch: 5 Batch: 2200 Loss: 1.8952407836914062
Epoch: 5 Batch: 2300 Loss: 1.6633268594741821
Epoch: 5 Batch: 2400 Loss: 1.7274596691131592
Epoch: 5 Batch: 2500 Loss: 1.7117880582809448
Epoch: 5 Batch: 2600 Loss: 1.706921935081482
Epoch: 5 Batch: 2700 Loss: 1.7107107639312744
Epoch: 5 Batch: 2800 Loss: 1.8024924993515015
Epoch: 5 Batch: 2900 Loss: 1.866919994354248
Epoch: 5 Batch: 3000 Loss: 1.8410849571228027
Epoch: 5 Batch: 3100 Loss: 1.880875825881958
Epoch: 5 Batch: 3200 Loss: 1.7382314205169678
Epoch: 5 Batch: 3300 Loss: 1.8393453359603882
Epoch: 5 Batch: 3400 Loss: 1.9372718334197998
Epoch: 5 Batch: 3500 Loss: 1.6232929229736328
Epoch: 5 Batch: 3600 Loss: 1.7112252712249756
Epoch: 5 Batch: 3700 Loss: 1.6925318241119385
Epoch: 5 Batch: 3800 Loss: 1.9501806497573853
Epoch: 5 Batch: 3900 Loss: 1.8320908546447754
Epoch: 5 Batch: 4000 Loss: 1.819759726524353
Epoch: 5 Batch: 4100 Loss: 1.7415629625320435
Epoch: 5 Batch: 4200 Loss: 1.5998899936676025
Epoch: 5 Batch: 4300 Loss: 1.829970359802246
Epoch: 5 Batch: 4400 Loss: 1.9380282163619995
Epoch: 5 Batch: 4500 Loss: 1.7730391025543213
Epoch: 5 Batch: 4600 Loss: 1.6086081266403198
Epoch: 5 Batch: 4700 Loss: 1.8138976097106934
Epoch: 5 Batch: 4800 Loss: 1.8183263540267944
Epoch: 5 Batch: 4900 Loss: 1.846136212348938
Epoch: 5 Batch: 5000 Loss: 1.9081400632858276
Epoch: 5 Batch: 5100 Loss: 1.9879233837127686
Epoch: 5 Batch: 5200 Loss: 1.8145768642425537
Epoch: 5 Batch: 5300 Loss: 1.853718638420105
Epoch: 5 Batch: 5400 Loss: 1.7967865467071533
Epoch: 5 Batch: 5500 Loss: 1.7291667461395264
Epoch: 5 Batch: 5600 Loss: 1.9104602336883545
Epoch: 5 Batch: 5700 Loss: 1.8124594688415527
Epoch: 5 Batch: 5800 Loss: 1.9784061908721924
Epoch: 5 Batch: 5900 Loss: 1.6751537322998047
Epoch: 5 Batch: 6000 Loss: 1.7318023443222046
Epoch: 5 Batch: 6100 Loss: 1.715209722518921
Epoch: 5 Batch: 6200 Loss: 1.8124920129776
Epoch: 5 Batch: 6300 Loss: 1.8480619192123413
